Question,Answer
"
Что такое «ковидная амнистия»? 
","
                                        С 1 июня жители, индивидуальные предприниматели и юридические лица могут вернуть оплаченные штрафы за нарушение масочного режима на транспорте. А все неоплаченные штрафы – аннулируются. Соответствующее решение принял мэр Москвы Сергей Собянин.
                                    "
"
Как я могу вернуть деньги за уже оплаченный штраф? 
","
Для оформления  компенсации необходимо обратиться в один из центров госуслуг «Мои документы» не  позднее 31 декабря этого года. Для этого потребуется паспорт или другой  документ, подтверждающий личность, постановление о назначении административного  штрафа, документ, подтверждающий оплату и заявление.  
В случае отсутствия постановления  вы можете обратиться за его копией, написав заявление. При наличии нескольких штрафов – вы можете подать одно  заявление.
                                    "
"
Где я могу получить копию постановления, если оно выписано контролером ГКУ «Организатор перевозок»? 
","
Если постановление выписано контролером ГКУ «Организатор перевозок», его копию можно получить, отправив заявление: 

в электронную приемную через форму «Обжалование постановления», прикрепив сканированный документ с подписью;
«Почтой России» по адресу: 127994, г. Москва, ул. Садовая-Самотечная, д. 1.;
или лично по адресу: г. Москва, 2-й Южнопортовый проезд, д. 27А, стр. 1, офис 206 График работы: с пн по чт с 8:00 до 17:00, в пт с 8:00 до 15:45.   Копия постановления будет выдана на месте. 

При обращении по почте или по электронной почте копия постановления будет направлена в течение 30 дней заказным письмом на почтовый адрес, указанный в постановлении или в вашем заявлении.
"
"
Как быстро мне вернут деньги за оплаченный штраф? 
","
                                        Обращение регистрируется сотрудниками в день подачи заявления.  В течение 30 календарных дней с момента подачи будут рассмотрены ваши документы. При положительном решении в течение 10 дней вам вернутся деньги.
                                    "
"
Что делать, если вещи упали на рельсы? 
","
Если Ваши вещи упали на рельсы, следует незамедлительно обратиться к дежурной по станции или к сотруднику УВД на метрополитене.
Ни в коем случае не пытайтесь достать их самостоятельно – вдоль края платформы проходит контактный рельс, на который подано напряжение 825В, приближение к нему, а тем более касание — опасно для жизни.
"
"
Как действовать, если пассажиру стало плохо в вагоне или на станции? 
","
Если пассажиру стало плохо в вагоне, следует незамедлительно связаться с машинистом электропоезда по экстренной связи «Пассажир-Машинист» и сообщить ему о случившемся, обязательно указав номер вагона. В этом случае машинист вызовет врача к ближайшей станции.
Если пассажиру стало плохо на станции, следует незамедлительно обратиться к любому работнику станции (дежурной по станции, начальнику станции, сотруднику УВД на метрополитене, дежурной у эскалатора) или сообщить оператору метрополитена, нажав тревожную кнопку на колонне экстренного вызова. Оператор вызовет врача на станцию. 
"
"
Что делать при внезапной остановке эскалатора? 
","
При внезапной остановке эскалатора следует четко следовать указаниям дежурного у эскалатора. При кратковременной остановке эскалатора — стоять на месте, держась за поручни, при более длительной — подниматься или спускаться по ходу движения.
"
"
Что делать, если пассажир упал на эскалаторе или вещи попали в гребенку эскалатора? 
","
Если пассажир упал на эскалаторе или вещи попали под гребенку, следует незамедлительно остановить движение эскалатора ручкой «Стоп», которая находится на балюстраде, и обратиться к дежурному у эскалатора.
"
"
Что делать, если в вагоне метро началась драка? 
","
Если происходит драка в вагоне, следует незамедлительно связаться с машинистом электропоезда по экстренной связи «Пассажир-Машинист» и сообщить ему о случившемся, обязательно указав номер вагона. В этом случае машинист вызовет наряд полиции к ближайшей станции.
"
"
Что делать, если произошло возгорание в вагоне или на станции метрополитена? 
","
Если произошло возгорание в вагоне, следует незамедлительно связаться с машинистом электропоезда по экстренной связи «Пассажир-Машинист», которая находится в каждом вагоне, и сообщить ему о случившемся, обязательно указав номер вагона, и четко исполнять его инструкции.

Если произошло возгорание на станции, следует незамедлительно обратиться к любому работнику станции (дежурной по станции, начальнику станции, сотруднику УВД на метрополитене, дежурной у эскалатора) или сообщить оператору метрополитена, нажав тревожную кнопку на колонне экстренного вызова.
"
"
Как действовать в случае падения человека на рельсы? 
","
Если при падении на путь человек не получил серьезных травм и может самостоятельно двигаться — необходимо встать и, не приближаясь к краю платформы, с которой произошло падение, быстро идти по ходу поезда к началу платформы. Ориентиром послужит черно-белая рейка, укрепленная на пути. Нужно встать за этой рейкой и ожидать работника метрополитена, который выведет из тоннеля.
Если при падении на путь человек получил травму или видит приближающийся электропоезд — нужно лечь лицом вниз в лоток между рельсами головой к поезду (чтобы не задиралась одежда), пригнуть голову и постараться не шевелиться. В этом случае поезд, даже и накрыв человека, не причинит вреда. Необходимо находиться в таком положении до тех пор, пока машинист электропоезда или дежурный персонал не придут на помощь.
Ни в коем случае нельзя прятаться под край пассажирской платформы или пытаться самостоятельно выбраться с пути: вдоль края платформы проходит контактный рельс, на который подано напряжение 825В, приближение к нему, а тем более касание — опасно для жизни.
Если на Ваших глазах человек упал на путь, нужно незамедлительно обратиться к любому работнику метрополитена на станции или передать информацию оператору ситуационного центра с помощью колонны экстренного вызова.
"
"
Во сколько открывается метро? 
","
Все станции Московского метрополитена открыты для входа и пересадки с одной линии на другую ежедневно с 5 часов 30 минут утра до 1 часа ночи.
Время отправления первых поездов со станций метрополитена: 5 часов 28 минут – 6 часов 5 минут. Уточняйте на сайте метрополитена, на станциях и в Контакт-центре «Московский транспорт» по телефонам: +7 495 539-5454 и 3210 (Билайн, МТС, Мегафон, Tele2).
Все станции Московской монорельсовой транспортной системы работают для входа и выхода пассажиров ежедневно с 8 до 20 часов.
"
"
Во сколько отправляются первые поезда в метро? 
","
Подробный график для всех станций метро можно посмотреть на сайте Московского метрополитена
"
"
Можно ли провозить велосипеды в метро? 
","
Велосипеды (за исключением складных) и иные транспортные средства, кроме детских и инвалидных колясок в Московском метрополитене провозить запрещается. 
Возможен провоз нескладных велосипедов в разобранном и упакованном виде (как багаж). При этом:

 если сумма трех измерений (высоты, длины, ширины) багажа не превышает 121 см, то данный багаж (упакованный велосипед) провозится бесплатно;
 если сумма трех измерений багажа составляет от 121 см до 150 см, провоз багажа следует оплатить;
 провоз багажа, который по сумме трех измерений превышает 150 см, в метрополитене запрещен.

"
"
Какой размер штрафа за безбилетный проезд в общественном транспорте? 
","
За неоплаченный проезд на общественном транспорте предусмотрена ответственность в виде денежного штрафа в размере 1 тыс. ₽
За неправомерное использование пассажиром не принадлежащего ему льготного проездного документа предусмотрен штраф в размере 2,5 тыс. ₽
Контроль за соблюдением правил прохода возложен на сотрудников Государственного казённого учреждения города Москвы «Организатор перевозок» и Службу безопасности Московского метрополитена.
"
