Question,Answer
Что такое PREMIER,"['', '\nPREMIER — это:', 'премьеры фильмов и сериалов от признанных лидеров индустрии\nонлайн-трансляции телеканалов ТНТ, ТНТ4, ТВ3, Пятница!\nбольшая библиотека хитов кинопроката — от классики до блокбастеров\nтелевизионные премьеры и шоу до эфира', '', '']"
Что можно смотреть бесплатно,"['', 'Часть контента доступна без подписки, сериалы, фильмы и шоу можно смотреть во вкладке Все видео → «Бесплатно». ', '']"
Зачем нужна подписка PREMIER,"['', 'Каждую неделю выходят новые сериалы и фильмы, часть которых есть только на сервисе PREMIER. Если вы оформляете подписку, то не пропустите новые серии любимого сериала. Подписка оформляется на 1, 3, 6 или 12 месяцев и продлевается автоматически.', '']"
Что входит в подписку PREMIER,"['', 'В подписку входят все фильмы, сериалы, шоу и ТВ-каналы, доступные на сервисе PREMIER. Смотрите подробнее в разделе Все видео. ', '']"
В каких странах работает PREMIER,"['', 'Сервис действует по всему миру. Часть контента доступна только на территории РФ в связи с действующими лицензионными ограничениями правообладателей. Раздел Live доступен только для РФ.', '']"
Почему в разделе «Live» нет онлайн-трансляций некоторых шоу и сериалов,"['', 'Из-за ограничений со стороны правообладателей некоторые шоу, сериалы и фильмы нельзя посмотреть в интернете.', '']"
Спортивные подписки на PREMIER,"['', '\nКроме подписки на фильмы и сериалы, на видеоплатформе PREMIER можно оформить 2 спортивные подписки:', '«МАТЧ ПРЕМЬЕР»\nПакет «СПОРТ»', '', '']"
В каких странах можно смотреть спортивные подписки PREMIER,"['', 'Подписки «МАТЧ ПРЕМЬЕР» и пакет «СПОРТ» доступны только на территории РФ.', '']"
Какую подписку выбрать,"['', '\nЕсли любите российский и европейский футбол, оформите подписку «МАТЧ ПРЕМЬЕР». Пакет «СПОРТ» подойдёт поклонникам разных видов спорта, он включает 7 спортивных каналов:', 'МАТЧ! ФУТБОЛ 1\nМАТЧ! ФУТБОЛ 2\nМАТЧ! ФУТБОЛ 3\nМАТЧ! БОЕЦ (бокс, ММА, кикбоксинг, самбо и борьба, восточные единоборства)\nМАТЧ! АРЕНА (одиночные виды спорта: биатлон, лыжные гонки, фигурное катание, плавание, легкая атлетика и автоспорт)\nМАТЧ! ИГРА (командные виды спорта: баскетбол, гандбол, волейбол и другие)\nКОННЫЙ МИР (конный спорт)', 'Спортивные каналы можно смотреть только на сайте PREMIER и в приложении PREMIER на Smart TV в разделе «Спорт». ', '\n']"
Как оформить подписку на спорт,"['', '\nПодписку на МАТЧ ПРЕМЬЕР и на пакет «СПОРТ» можно оформить только на сайте PREMIER и в приложении PREMIER на Smart TV.\n1. Сайт', 'Откройте\xa0premier.one. \nЗарегистрируйтесь или войдите в аккаунт.\nПерейдите в «Мои подписки».\nВыберите нужную подписку и нажмите кнопку «Смотреть».\nВ открывшейся форме введите номер карты, срок действия и CVC/CVV-код.\nПодтвердите оплату картой, введя код из СМС в форму.\nГотово. Наслаждайтесь любимыми спортивными событиями!', '2. Smart TV', 'Откройте приложение PREMIER на Smart TV\nЗарегистрируйтесь или войдите в аккаунт.\nПерейдите в «Мои подписки».\nВыберите нужную подписку и нажмите на неё.\nЕсли у вас есть сохраненная банковская карта, можете оформить подписку через неё. Если нет - в открывшейся форме введите номер карты, срок действия и CVC/CVV-код.\nПодтвердите оплату картой - введите в форму код из СМС.\nГотово. Наслаждайтесь любимыми спортивными событиями!', '\n']"
Как отключить подписку на спорт,"['', '\nЧтобы отключить спортивную подписку, оформленную на сайте premier.one или в приложении PREMIER на Smart TV, перейдите в раздел «Мои подписки».\nЕсли подписка оформлялась на сайте matchtv.ru или в мобильном приложении «МАТЧ!», отписаться нужно там же — чтобы не возникло ошибок.\nЕсли хотите управлять подписками на МАТЧ ПРЕМЬЕР и пакет «СПОРТ» здесь, оформите их на PREMIER.', '\n']"
