Question,Answer
Существуют ли в РУДН подготовительные курсы для школьников? Как их найти и какие условия приема? ,"В РУДН есть Управление довузовской подготовки, которое занимается довузовской и профильной подготовкой абитуриентов, направленной на поступление в РУДН на все формы, уровни обучения. Подробная информация доступна по ссылке: https://www.rudn.ru/ab/school
"
Что преподают на подготовительных курсах РУДН?,"В состав Управления довузовской подготовки входит Центр многопрофильного довузовского образования «УНИКУМ». В Центре будущих абитуриентов готовят к сдаче Основного государственного экзамена (ОГЭ) и Единого государственного экзамена (ЕГЭ) по всем дисциплинам, которые необходимы для поступления в РУДН и другие вузы Российской Федерации. Вы можете поступить на довузовский курс, начиная с 9 класса школы. Есть курсы разной продолжительности и формы подготовки, начиная от 2 лет и заканчивая 3 месяцами. В «Уникуме» есть несколько форм подготовки: занятие с индивидуальным репетитором, дистанционное обучение и очное обучение. Контактные данные, схему проезда и подробную информацию можно найти по ссылке: http://www.unikum.rudn.ru/contacts.html."
Я хочу поступать в РУДН. ,"Информация о приёме на обучение, доступна по ссылке: https://www.rudn.ru/ab/"
Какие существуют в РУДН особенности приема по результатам олимпиады?,Победа в заключительном этапе Всероссийской олимпиады школьников или призовое место/победа в олимпиаде из Перечня утвержденных Министерством образования и науки РФ дает абитуриенту право поступления на бюджетное место без экзаменов. Подробнее с регламентом приёмом по результатам олимпиад можно ознакомиться на официальном сайте РУДН в разделе «Поступающим»: www.rudn.ru/ab/olympiad.
Какие нужно документы для поступления в РУДН? ,"Список необходимых документов для подачи при поступлении на 1-й курс (бакалавриат/специалитет) https://www.rudn.ru/ab/?pagec=6046
Список необходимых документов для подачи при поступлении в магистратуру https://www.rudn.ru/ab/?pagec=6047
Программы вступительных испытаний для приема на магистерские программы https://www.rudn.ru/ab/?pagec=5864
В 2018 г. в РУДН предусмотрена подача документов в электронной форме (http://ab.rudn.ru). Электронная подача документов для поступления на программы бакалавриата и специалитета (для получения как первого, так и второго высшего образования) доступна для следующих групп граждан:

граждане Российской Федерации — при поступлении на бюджетные и платные места
граждане Республики Беларусь — при поступлении наравне с гражданами РФ, на бюджетные места
граждане Республики Казахстан — при поступлении наравне с гражданами РФ, на бюджетные места
граждане Кыргызской Республики — при поступлении наравне с гражданами РФ, на бюджетные места
граждане Республики Таджикистан — при поступлении наравне с гражданами РФ, на бюджетные места

Иностранным гражданам поступающим по квоте Минобрнауки РФ и поступающим в РУДН как иностранные граждане необходимо обращаться в Департамент по рекрутингу и сопровождению иностранных обучающихся: (адрес: 117198, Москва, ул. Миклухо-Маклая, 10/2, телефон: +7 (499) 936-85-15, Email: dis@rudn.ru."
Где я могу посмотреть основные программы обучения в РУДН? ,"Перечень направлений подготовки, специальностей, перечень вступительных испытаний и минимальные баллы по каждому вступительному испытанию для приема на 1 курс бакалавриата в 2018 году: https://www.rudn.ru/ab/BakSpecList.
Направления подготовки магистратуры: https://www.rudn.ru/ab/MagSpecList."
Как связаться с приемной комиссией?,"Контакты Центральной приёмной комиссии https://www.rudn.ru/ab/contacts
"
Как пройти в библиотеку? Где находится АТИ/ФФМиЕН и т.д.?,"Научная библиотека находится на 1ом и 2ом этажах главного корпуса РУДН в правом крыле.
1 этаж — абонемент, каталог, 2-ой этаж — читальные залы, Интернет-зал.
Карта РУДН и студгородка на ул. Миклухо-Маклая.

117198, Россия, г. Москва, ул. Миклухо-Маклая, д. 6.
По этому адресу расположен Главный корпус РУДН. Из-за своей формы здание получило еще одно неофициальное, но часто употребляемое название — «Крест». Здесь находятся: Ректорат, Управление делами, Управление учета студенческих кадров, Управление по работе со студентами, Коммерческое управление, Профком, экономический факультет, Юридический институт, Институт мировой экономики и бизнеса (ИМЭБ), а также Приемная комиссия РУДН, Учебно-научный информационный библиотечный центр (Научная библиотека).
Проезд: от станции метро «Юго-Западная» авт. № 196, 196к, 226, 250, 261, 330, 404, 699, 718, 752; от станции метро «Беляево» авт. № 145к, 261, 330, 752, 816; от станции метро «Калужская» авт.№ 226, от станции метро «Коньково» авт. № 145, 196, 250, 699 — до ост. «Ул. Миклухо-Маклая, Российский университет дружбы народов».
Вдоль улицы Миклухо-Маклая от Ленинского проспекта в сторону улицы Волгина разместился студенческий городок, построенный в 70-е годы.
По четной стороне улицы расположены: «Крест», Медицинский институт, Аграрно-технологический институт (АТИ), Клинико-диагностический центр РУДН, здание Архива, здание факультета русского языка и общеобразовательных дисциплин, а также корпус естественно-гуманитарных факультетов, в котором располагаются:
факультет гуманитарных и социальных наук (ФГСН), филологический факультет, Институт гостиничного бизнеса и туризма (ИГБиТ), Институт повышения квалификации и переподготовки кадров (ИППК), Центр активных программ содействия занятости молодежи, часть Медицинского института.
По нечетной стороне улицы Миклухо-Маклая тянутся корпуса общежитий (блоки № 1, 2, 12, 3, 5, 6, 14, 13, 7, 8, 9, 10 и 11). В 4 корпусе расположены Институт иностранных языков (ИИЯ), бухгалтерия, ТВ РУДН, редакция газеты «Дружба», Управление социального развития, хозяйственные службы. Между 8 и 9 блоками — Интернациональный культурный центр (Интерклуб). В корпусе № 14 (ул.Миклухо-Маклая, д.15, корп.1) расположено Управление комплексного обслуживания проживающих.
Студенты инженерной академии (ИА) и факультета физико-математических и естественных наук (ФФМиЕН) учатся в здании Университета на ул. Орджоникидзе, д. 3. Проезд: от станции метро «Шаболовская» или от станции метро «Ленинский проспект» любой трамвай до ост. «Университет дружбы народов» или «Кинотеатр «Алмаз» (иногда остановку называют «Серпуховской вал»).
Студенты экологического факультета и часть будущих инженеров учатся в здании на Подольском шоссе, д. 8, корп. 5. Проезд: станция метро «Тульская», далее пешком либо станция метро «Шаболовская», далее трамвай № 47 до ост. «Даниловский рынок»."
"В чем отличие между академией, институтом, факультетом? И почему все эти структурные подразделения входят в Российский Университет Дружбы Народов?","Российский университет дружбы народов — многопрофильное высшее учебное заведение с большим выбором учебных программ в самых разных областях знания. Внутреннее деление на структурные подразделения такие как, Академия, Институты и факультеты происходит в рамках подготовки специалистов для работы в определённых областях профессиональной деятельности. Факультеты, Институты и Академия РУДН являются основными учебными подразделениями (ОУП) Университета с равными правами внутри РУДН.
В настоящее время структура РУДН включает в себя 6 факультетов: факультет гуманитарных и социальных наук (ФГСН), факультет физико-математических и естественных наук (ФФМиЕН), экологический факультет, филологический факультет, экономический факультет; медицинский факультет, Инженерную академию и 7 институтов: Аграрно-технологический институт (АТИ), Юридический институт (ЮИ), Институт иностранных языков (ИИЯ), Институт мировой экономики и бизнеса (ИМЭБ), Институт гостиничного бизнеса и туризма (ИГБиТ), Учебно-научный институт гравитации и космологии, Институт биохимической технологии и нанотехнологии."
"Кто такой Ректор, проректор, декан?","Ректор — руководитель высшего учебного заведения. С марта 2005 г. по настоящее время — ректор РУДН Филиппов Владимир Михайлович, доктор физико-математических наук, профессор, академик Российской академии образования, с 1998 года по 2004 год — министр образования РФ.
Проректор — заместитель ректора высшего учебного заведения по какому-либо направлению работы вуза (по научной работе, по экономической деятельности и стратегическому развитию, по общим вопросам, по административной работе — руководитель аппарата, по работе со студентами, проректор по дополнительному образованию, по хозяйственной деятельности, по учебной работе, по международной деятельности, по организации приема и довузовской деятельности, по коммерческой деятельности, по кадровой политике).
Декан факультета/Директор института/академии — глава Учебного подразделения в образовательном учреждении высшего образования; непосредственно руководит учебной, воспитательной и научной работой в ОУП."
